pl_name,pl_rade,pl_bmasse
"WASP-147 b",12.49803500,87.40325000
"WASP-160 B b",12.21781000,88.35674000
"WASP-164 b",12.64375200,676.97790000
"WASP-165 b",14.12334000,209.13214000
"HATS-59 b",12.62133400,256.17098000
"LHS 1140 c",1.27200000,1.91000000
"CoRoT-21 b",14.57170000,718.29580000
"WASP-161 b",12.81188700,791.39670000
"WASP-163 b",13.47321800,594.34210000
"WASP-170 b",12.28506400,508.52800000
"K2-285 b",2.59000000,9.68000000
"K2-285 c",3.53000000,15.68000000
"K2-285 d",2.48000000,6.50000000
"K2-285 e",1.95000000,10.70000000
"K2-287 b",9.49402300,100.11645000
"HATS-60 b",12.92397700,210.40346000
"HATS-61 b",13.39475500,1080.62200000
"HATS-62 b",11.82549500,56.89157000
"HATS-63 b",13.52926300,305.11680000
"HATS-64 b",18.81991100,305.11680000
"HATS-65 b",16.82470900,260.93843000
"HATS-66 b",15.81589900,1694.03390000
"HATS-67 b",18.88716500,460.85350000
"HATS-68 b",13.80948800,410.00070000
"HATS-69 b",10.59250500,183.38791000
"K2-290 b",3.06000000,10.90000000
"K2-290 c",11.27625400,246.00042000
"K2-291 b",1.58900000,6.49000000
"LHS 3844 b",1.28600000,2.37000000
"HD 202772 A b",18.23701160,323.54931833
"K2-292 b",2.63000000,24.50000000
"HATS-70 b",15.51325600,4100.00700000
"GJ 143 b",2.61000000,22.70000000
"HD 23472 b",2.00000000,8.32000000
"HD 23472 c",1.87000000,3.41000000
"HD 219666 b",4.89800000,17.60000000
"HD 1397 b",11.50043400,131.89945000
"WASP-190 b",12.89035000,317.83000000
"PDS 70 b",21.96960217,1017.05090240
"Qatar-7 b",19.05530000,597.52040000
"TOI-172 b",10.81668500,1722.63860000
"HD 221416 b",9.17000000,60.50000000
"WASP-177 b",17.71022000,161.45764000
"WASP-181 b",13.27145600,95.03117000
"WASP-183 b",16.47723000,159.55066000
"Kepler-47 d",7.04000000,19.02000000
"HD 21749 c",0.89200000,3.70000000
"Qatar-8 b",14.40356500,117.91493000
"Qatar-9 b",11.30988100,378.21770000
"Qatar-10 b",17.29548700,233.92288000
"TOI-216.02",8.00000000,18.75187601
"TOI-216.01",10.10000000,177.98390792
"NGTS-5 b",12.73342400,72.78307000
"HD 15337 b",1.77000000,6.51900000
"HD 15337 c",2.52600000,6.79200000
"NGTS-4 b",3.18000000,20.60000000
"K2-32 e",1.21200000,2.10000000
"Kepler-407 b",1.19000000,1.93000000
"L 98-59 b",0.83700000,0.46000000
"L 98-59 c",1.32900000,2.00000000
"L 98-59 d",1.62700000,1.64000000
"PDS 70 c",22.19378179,2383.71305250
"HD 2685 b",16.14096000,371.86110000
"TOI-150.01",14.06729500,797.75330000
"KELT-23 A b",14.82950700,298.12454000
"V1298 Tau b",9.41000000,13.10000000
"WASP-87 b",15.52446500,692.86940000
"EPIC 248847494 b",12.44199000,4131.79000000
"WASP-166 b",7.06167000,32.10083000
"Kepler-849 b",8.08167508,298.75870258
"HR 858 b",2.00400000,3.55000000
"HR 858 c",1.97900000,3.80000000
"HR 858 d",2.00100000,7.10000000
"TOI-270 b",1.28000000,1.48000000
"TOI-270 c",2.33000000,6.20000000
"TOI-270 d",2.00000000,4.20000000
"LTT 1445 A b",1.34000000,2.73000000
"K2-146 c",2.19000000,7.49000000
"HAT-P-69 b",18.78628400,1137.83140000
"HAT-P-70 b",20.96083000,2154.88740000
"HATS-54 b",11.37711541,239.32479047
"HATS-55 b",14.02245900,292.72143000
"HATS-56 b",18.92079200,191.33366000
"HATS-57 b",12.76705100,1000.21101000
"HATS-58 A b",12.27385500,327.36490000
"WASP-169 b",14.61653600,178.30263000
"WASP-171 b",10.98482000,344.52772000
"WASP-175 b",13.54047200,314.65170000
"WASP-182 b",9.52765000,47.03884000
"KELT-24 b",12.71098411,1458.83238813
"NGTS-6 b",14.86313400,425.57437000
"WASP-180 A b",13.89916000,286.04700000
"WASP-178 b",20.28829000,527.59780000
"WASP-184 b",14.90797000,181.16310000
"WASP-185 b",14.01125000,311.47340000
"WASP-192 b",13.78707000,731.00900000
"V1298 Tau c",5.08000000,4.70000000
